"rules","support","confidence","lift","count"
"1","{Product N} => {Product D}",0.0666666666666667,1,5,1
"2","{Product N} => {Product G}",0.0666666666666667,1,3,1
"3","{Product N} => {Product E}",0.0666666666666667,1,2.5,1
"4","{Product N} => {Product H}",0.0666666666666667,1,2.14285714285714,1
"5","{Product N} => {Product F}",0.0666666666666667,1,2.14285714285714,1
"6","{Product D} => {Product G}",0.2,1,3,3
"7","{Product D} => {Product E}",0.2,1,2.5,3
"8","{Product D} => {Product H}",0.2,1,2.14285714285714,3
"9","{Product D} => {Product F}",0.2,1,2.14285714285714,3
"10","{Product K} => {Product E}",0.2,1,2.5,3
"11","{Product K} => {Product J}",0.2,1,2.5,3
"12","{Product K} => {Product H}",0.2,1,2.14285714285714,3
"13","{Product K} => {Product F}",0.2,1,2.14285714285714,3
"14","{Product K} => {Product I}",0.2,1,1.36363636363636,3
"15","{Product B} => {Product A}",0.333333333333333,0.833333333333333,1.78571428571429,5
"16","{Product B} => {Product C}",0.4,1,2.14285714285714,6
"17","{Product C} => {Product B}",0.4,0.857142857142857,2.14285714285714,6
"18","{Product B} => {Product I}",0.333333333333333,0.833333333333333,1.13636363636364,5
"19","{Product G} => {Product E}",0.266666666666667,0.8,2,4
"20","{Product G} => {Product H}",0.266666666666667,0.8,1.71428571428571,4
"21","{Product G} => {Product F}",0.333333333333333,1,2.14285714285714,5
"22","{Product A} => {Product I}",0.466666666666667,1,1.36363636363636,7
"23","{Product C} => {Product I}",0.4,0.857142857142857,1.16883116883117,6
"24","{Product E} => {Product H}",0.4,1,2.14285714285714,6
"25","{Product H} => {Product E}",0.4,0.857142857142857,2.14285714285714,6
"26","{Product E} => {Product F}",0.333333333333333,0.833333333333333,1.78571428571429,5
"27","{Product J} => {Product F}",0.333333333333333,0.833333333333333,1.78571428571429,5
"28","{Product J} => {Product I}",0.4,1,1.36363636363636,6
"29","{Product H} => {Product F}",0.4,0.857142857142857,1.83673469387755,6
"30","{Product F} => {Product H}",0.4,0.857142857142857,1.83673469387755,6
"31","{Product D,Product N} => {Product G}",0.0666666666666667,1,3,1
"32","{Product G,Product N} => {Product D}",0.0666666666666667,1,5,1
"33","{Product D,Product N} => {Product E}",0.0666666666666667,1,2.5,1
"34","{Product E,Product N} => {Product D}",0.0666666666666667,1,5,1
"35","{Product D,Product N} => {Product H}",0.0666666666666667,1,2.14285714285714,1
"36","{Product H,Product N} => {Product D}",0.0666666666666667,1,5,1
"37","{Product D,Product N} => {Product F}",0.0666666666666667,1,2.14285714285714,1
"38","{Product F,Product N} => {Product D}",0.0666666666666667,1,5,1
"39","{Product G,Product N} => {Product E}",0.0666666666666667,1,2.5,1
"40","{Product E,Product N} => {Product G}",0.0666666666666667,1,3,1
"41","{Product G,Product N} => {Product H}",0.0666666666666667,1,2.14285714285714,1
"42","{Product H,Product N} => {Product G}",0.0666666666666667,1,3,1
"43","{Product G,Product N} => {Product F}",0.0666666666666667,1,2.14285714285714,1
"44","{Product F,Product N} => {Product G}",0.0666666666666667,1,3,1
"45","{Product E,Product N} => {Product H}",0.0666666666666667,1,2.14285714285714,1
"46","{Product H,Product N} => {Product E}",0.0666666666666667,1,2.5,1
"47","{Product E,Product N} => {Product F}",0.0666666666666667,1,2.14285714285714,1
"48","{Product F,Product N} => {Product E}",0.0666666666666667,1,2.5,1
"49","{Product H,Product N} => {Product F}",0.0666666666666667,1,2.14285714285714,1
"50","{Product F,Product N} => {Product H}",0.0666666666666667,1,2.14285714285714,1
"51","{Product D,Product K} => {Product O}",0.0666666666666667,1,3.75,1
"52","{Product D,Product O} => {Product K}",0.0666666666666667,1,5,1
"53","{Product K,Product O} => {Product D}",0.0666666666666667,1,5,1
"54","{Product D,Product K} => {Product G}",0.0666666666666667,1,3,1
"55","{Product D,Product K} => {Product E}",0.0666666666666667,1,2.5,1
"56","{Product D,Product K} => {Product J}",0.0666666666666667,1,2.5,1
"57","{Product D,Product J} => {Product K}",0.0666666666666667,1,5,1
"58","{Product D,Product K} => {Product H}",0.0666666666666667,1,2.14285714285714,1
"59","{Product D,Product K} => {Product F}",0.0666666666666667,1,2.14285714285714,1
"60","{Product D,Product K} => {Product I}",0.0666666666666667,1,1.36363636363636,1
"61","{Product D,Product I} => {Product K}",0.0666666666666667,1,5,1
"62","{Product D,Product O} => {Product G}",0.0666666666666667,1,3,1
"63","{Product G,Product O} => {Product D}",0.0666666666666667,1,5,1
"64","{Product D,Product O} => {Product E}",0.0666666666666667,1,2.5,1
"65","{Product E,Product O} => {Product D}",0.0666666666666667,1,5,1
"66","{Product D,Product O} => {Product J}",0.0666666666666667,1,2.5,1
"67","{Product D,Product J} => {Product O}",0.0666666666666667,1,3.75,1
"68","{Product J,Product O} => {Product D}",0.0666666666666667,1,5,1
"69","{Product D,Product O} => {Product H}",0.0666666666666667,1,2.14285714285714,1
"70","{Product H,Product O} => {Product D}",0.0666666666666667,1,5,1
"71","{Product D,Product O} => {Product F}",0.0666666666666667,1,2.14285714285714,1
"72","{Product F,Product O} => {Product D}",0.0666666666666667,1,5,1
"73","{Product D,Product O} => {Product I}",0.0666666666666667,1,1.36363636363636,1
"74","{Product D,Product I} => {Product O}",0.0666666666666667,1,3.75,1
"75","{Product D,Product G} => {Product E}",0.2,1,2.5,3
"76","{Product D,Product E} => {Product G}",0.2,1,3,3
"77","{Product D,Product J} => {Product G}",0.0666666666666667,1,3,1
"78","{Product D,Product G} => {Product H}",0.2,1,2.14285714285714,3
"79","{Product D,Product H} => {Product G}",0.2,1,3,3
"80","{Product D,Product G} => {Product F}",0.2,1,2.14285714285714,3
"81","{Product D,Product F} => {Product G}",0.2,1,3,3
"82","{Product D,Product I} => {Product G}",0.0666666666666667,1,3,1
"83","{Product D,Product J} => {Product E}",0.0666666666666667,1,2.5,1
"84","{Product D,Product E} => {Product H}",0.2,1,2.14285714285714,3
"85","{Product D,Product H} => {Product E}",0.2,1,2.5,3
"86","{Product D,Product E} => {Product F}",0.2,1,2.14285714285714,3
"87","{Product D,Product F} => {Product E}",0.2,1,2.5,3
"88","{Product D,Product I} => {Product E}",0.0666666666666667,1,2.5,1
"89","{Product D,Product J} => {Product H}",0.0666666666666667,1,2.14285714285714,1
"90","{Product D,Product J} => {Product F}",0.0666666666666667,1,2.14285714285714,1
"91","{Product D,Product J} => {Product I}",0.0666666666666667,1,1.36363636363636,1
"92","{Product D,Product I} => {Product J}",0.0666666666666667,1,2.5,1
"93","{Product D,Product H} => {Product F}",0.2,1,2.14285714285714,3
"94","{Product D,Product F} => {Product H}",0.2,1,2.14285714285714,3
"95","{Product D,Product I} => {Product H}",0.0666666666666667,1,2.14285714285714,1
"96","{Product D,Product I} => {Product F}",0.0666666666666667,1,2.14285714285714,1
"97","{Product K,Product O} => {Product G}",0.0666666666666667,1,3,1
"98","{Product G,Product O} => {Product K}",0.0666666666666667,1,5,1
"99","{Product K,Product O} => {Product E}",0.0666666666666667,1,2.5,1
"100","{Product E,Product O} => {Product K}",0.0666666666666667,1,5,1
"101","{Product K,Product O} => {Product J}",0.0666666666666667,1,2.5,1
"102","{Product J,Product O} => {Product K}",0.0666666666666667,1,5,1
"103","{Product K,Product O} => {Product H}",0.0666666666666667,1,2.14285714285714,1
"104","{Product H,Product O} => {Product K}",0.0666666666666667,1,5,1
"105","{Product K,Product O} => {Product F}",0.0666666666666667,1,2.14285714285714,1
"106","{Product F,Product O} => {Product K}",0.0666666666666667,1,5,1
"107","{Product K,Product O} => {Product I}",0.0666666666666667,1,1.36363636363636,1
"108","{Product G,Product K} => {Product E}",0.133333333333333,1,2.5,2
"109","{Product G,Product K} => {Product J}",0.133333333333333,1,2.5,2
"110","{Product G,Product K} => {Product H}",0.133333333333333,1,2.14285714285714,2
"111","{Product G,Product K} => {Product F}",0.133333333333333,1,2.14285714285714,2
"112","{Product G,Product K} => {Product I}",0.133333333333333,1,1.36363636363636,2
"113","{Product E,Product K} => {Product J}",0.2,1,2.5,3
"114","{Product J,Product K} => {Product E}",0.2,1,2.5,3
"115","{Product E,Product J} => {Product K}",0.2,1,5,3
"116","{Product E,Product K} => {Product H}",0.2,1,2.14285714285714,3
"117","{Product H,Product K} => {Product E}",0.2,1,2.5,3
"118","{Product E,Product K} => {Product F}",0.2,1,2.14285714285714,3
"119","{Product F,Product K} => {Product E}",0.2,1,2.5,3
"120","{Product E,Product K} => {Product I}",0.2,1,1.36363636363636,3
"121","{Product I,Product K} => {Product E}",0.2,1,2.5,3
"122","{Product E,Product I} => {Product K}",0.2,1,5,3
"123","{Product J,Product K} => {Product H}",0.2,1,2.14285714285714,3
"124","{Product H,Product K} => {Product J}",0.2,1,2.5,3
"125","{Product J,Product K} => {Product F}",0.2,1,2.14285714285714,3
"126","{Product F,Product K} => {Product J}",0.2,1,2.5,3
"127","{Product J,Product K} => {Product I}",0.2,1,1.36363636363636,3
"128","{Product I,Product K} => {Product J}",0.2,1,2.5,3
"129","{Product H,Product K} => {Product F}",0.2,1,2.14285714285714,3
"130","{Product F,Product K} => {Product H}",0.2,1,2.14285714285714,3
"131","{Product H,Product K} => {Product I}",0.2,1,1.36363636363636,3
"132","{Product I,Product K} => {Product H}",0.2,1,2.14285714285714,3
"133","{Product F,Product K} => {Product I}",0.2,1,1.36363636363636,3
"134","{Product I,Product K} => {Product F}",0.2,1,2.14285714285714,3
"135","{Product M,Product O} => {Product L}",0.0666666666666667,1,3,1
"136","{Product L,Product O} => {Product M}",0.0666666666666667,1,3.75,1
"137","{Product M,Product O} => {Product B}",0.0666666666666667,1,2.5,1
"138","{Product M,Product O} => {Product C}",0.0666666666666667,1,2.14285714285714,1
"139","{Product B,Product L} => {Product M}",0.0666666666666667,1,3.75,1
"140","{Product C,Product L} => {Product M}",0.133333333333333,1,3.75,2
"141","{Product J,Product M} => {Product L}",0.133333333333333,1,3,2
"142","{Product H,Product M} => {Product L}",0.0666666666666667,1,3,1
"143","{Product F,Product M} => {Product L}",0.0666666666666667,1,3,1
"144","{Product B,Product M} => {Product C}",0.133333333333333,1,2.14285714285714,2
"145","{Product A,Product M} => {Product I}",0.133333333333333,1,1.36363636363636,2
"146","{Product C,Product J} => {Product M}",0.0666666666666667,1,3.75,1
"147","{Product H,Product M} => {Product C}",0.0666666666666667,1,2.14285714285714,1
"148","{Product C,Product H} => {Product M}",0.0666666666666667,1,3.75,1
"149","{Product F,Product M} => {Product C}",0.0666666666666667,1,2.14285714285714,1
"150","{Product C,Product F} => {Product M}",0.0666666666666667,1,3.75,1
"151","{Product H,Product M} => {Product J}",0.0666666666666667,1,2.5,1
"152","{Product F,Product M} => {Product J}",0.0666666666666667,1,2.5,1
"153","{Product J,Product M} => {Product I}",0.133333333333333,1,1.36363636363636,2
"154","{Product H,Product M} => {Product F}",0.0666666666666667,1,2.14285714285714,1
"155","{Product F,Product M} => {Product H}",0.0666666666666667,1,2.14285714285714,1
"156","{Product H,Product M} => {Product I}",0.0666666666666667,1,1.36363636363636,1
"157","{Product F,Product M} => {Product I}",0.0666666666666667,1,1.36363636363636,1
"158","{Product L,Product O} => {Product B}",0.0666666666666667,1,2.5,1
"159","{Product B,Product L} => {Product O}",0.0666666666666667,1,3.75,1
"160","{Product L,Product O} => {Product C}",0.0666666666666667,1,2.14285714285714,1
"161","{Product A,Product O} => {Product B}",0.133333333333333,1,2.5,2
"162","{Product B,Product O} => {Product C}",0.2,1,2.14285714285714,3
"163","{Product C,Product O} => {Product B}",0.2,1,2.5,3
"164","{Product G,Product O} => {Product E}",0.0666666666666667,1,2.5,1
"165","{Product E,Product O} => {Product G}",0.0666666666666667,1,3,1
"166","{Product G,Product O} => {Product J}",0.0666666666666667,1,2.5,1
"167","{Product J,Product O} => {Product G}",0.0666666666666667,1,3,1
"168","{Product G,Product O} => {Product H}",0.0666666666666667,1,2.14285714285714,1
"169","{Product H,Product O} => {Product G}",0.0666666666666667,1,3,1
"170","{Product G,Product O} => {Product F}",0.0666666666666667,1,2.14285714285714,1
"171","{Product F,Product O} => {Product G}",0.0666666666666667,1,3,1
"172","{Product G,Product O} => {Product I}",0.0666666666666667,1,1.36363636363636,1
"173","{Product A,Product O} => {Product C}",0.133333333333333,1,2.14285714285714,2
"174","{Product A,Product O} => {Product I}",0.133333333333333,1,1.36363636363636,2
"175","{Product E,Product O} => {Product J}",0.0666666666666667,1,2.5,1
"176","{Product J,Product O} => {Product E}",0.0666666666666667,1,2.5,1
"177","{Product E,Product O} => {Product H}",0.0666666666666667,1,2.14285714285714,1
"178","{Product H,Product O} => {Product E}",0.0666666666666667,1,2.5,1
"179","{Product E,Product O} => {Product F}",0.0666666666666667,1,2.14285714285714,1
"180","{Product F,Product O} => {Product E}",0.0666666666666667,1,2.5,1
"181","{Product E,Product O} => {Product I}",0.0666666666666667,1,1.36363636363636,1
"182","{Product J,Product O} => {Product H}",0.0666666666666667,1,2.14285714285714,1
"183","{Product H,Product O} => {Product J}",0.0666666666666667,1,2.5,1
"184","{Product J,Product O} => {Product F}",0.0666666666666667,1,2.14285714285714,1
"185","{Product F,Product O} => {Product J}",0.0666666666666667,1,2.5,1
"186","{Product J,Product O} => {Product I}",0.0666666666666667,1,1.36363636363636,1
"187","{Product H,Product O} => {Product F}",0.0666666666666667,1,2.14285714285714,1
"188","{Product F,Product O} => {Product H}",0.0666666666666667,1,2.14285714285714,1
"189","{Product H,Product O} => {Product I}",0.0666666666666667,1,1.36363636363636,1
"190","{Product F,Product O} => {Product I}",0.0666666666666667,1,1.36363636363636,1
"191","{Product B,Product L} => {Product C}",0.0666666666666667,1,2.14285714285714,1
"192","{Product G,Product L} => {Product A}",0.0666666666666667,1,2.14285714285714,1
"193","{Product A,Product G} => {Product L}",0.0666666666666667,1,3,1
"194","{Product G,Product L} => {Product J}",0.0666666666666667,1,2.5,1
"195","{Product G,Product L} => {Product F}",0.0666666666666667,1,2.14285714285714,1
"196","{Product G,Product L} => {Product I}",0.0666666666666667,1,1.36363636363636,1
"197","{Product A,Product L} => {Product J}",0.133333333333333,1,2.5,2
"198","{Product A,Product J} => {Product L}",0.133333333333333,1,3,2
"199","{Product A,Product F} => {Product L}",0.0666666666666667,1,3,1
"200","{Product A,Product L} => {Product I}",0.133333333333333,1,1.36363636363636,2
"201","{Product C,Product J} => {Product L}",0.0666666666666667,1,3,1
"202","{Product C,Product H} => {Product L}",0.0666666666666667,1,3,1
"203","{Product C,Product F} => {Product L}",0.0666666666666667,1,3,1
"204","{Product E,Product L} => {Product H}",0.0666666666666667,1,2.14285714285714,1
"205","{Product F,Product L} => {Product J}",0.133333333333333,1,2.5,2
"206","{Product J,Product L} => {Product I}",0.2,1,1.36363636363636,3
"207","{Product I,Product L} => {Product J}",0.2,1,2.5,3
"208","{Product F,Product L} => {Product I}",0.133333333333333,1,1.36363636363636,2
"209","{Product A,Product B} => {Product C}",0.333333333333333,1,2.14285714285714,5
"210","{Product B,Product C} => {Product A}",0.333333333333333,0.833333333333333,1.78571428571429,5
"211","{Product A,Product C} => {Product B}",0.333333333333333,1,2.5,5
"212","{Product A,Product B} => {Product I}",0.333333333333333,1,1.36363636363636,5
"213","{Product B,Product I} => {Product A}",0.333333333333333,1,2.14285714285714,5
"214","{Product B,Product C} => {Product I}",0.333333333333333,0.833333333333333,1.13636363636364,5
"215","{Product B,Product I} => {Product C}",0.333333333333333,1,2.14285714285714,5
"216","{Product C,Product I} => {Product B}",0.333333333333333,0.833333333333333,2.08333333333333,5
"217","{Product A,Product G} => {Product J}",0.0666666666666667,1,2.5,1
"218","{Product A,Product G} => {Product F}",0.0666666666666667,1,2.14285714285714,1
"219","{Product A,Product F} => {Product G}",0.0666666666666667,1,3,1
"220","{Product A,Product G} => {Product I}",0.0666666666666667,1,1.36363636363636,1
"221","{Product E,Product G} => {Product H}",0.266666666666667,1,2.14285714285714,4
"222","{Product G,Product H} => {Product E}",0.266666666666667,1,2.5,4
"223","{Product E,Product G} => {Product F}",0.266666666666667,1,2.14285714285714,4
"224","{Product F,Product G} => {Product E}",0.266666666666667,0.8,2,4
"225","{Product E,Product F} => {Product G}",0.266666666666667,0.8,2.4,4
"226","{Product G,Product J} => {Product F}",0.2,1,2.14285714285714,3
"227","{Product G,Product J} => {Product I}",0.2,1,1.36363636363636,3
"228","{Product G,Product I} => {Product J}",0.2,1,2.5,3
"229","{Product G,Product H} => {Product F}",0.266666666666667,1,2.14285714285714,4
"230","{Product F,Product G} => {Product H}",0.266666666666667,0.8,1.71428571428571,4
"231","{Product G,Product I} => {Product F}",0.2,1,2.14285714285714,3
"232","{Product A,Product C} => {Product I}",0.333333333333333,1,1.36363636363636,5
"233","{Product C,Product I} => {Product A}",0.333333333333333,0.833333333333333,1.78571428571429,5
"234","{Product A,Product F} => {Product J}",0.0666666666666667,1,2.5,1
"235","{Product A,Product J} => {Product I}",0.133333333333333,1,1.36363636363636,2
"236","{Product A,Product F} => {Product I}",0.0666666666666667,1,1.36363636363636,1
"237","{Product C,Product J} => {Product H}",0.0666666666666667,1,2.14285714285714,1
"238","{Product C,Product H} => {Product J}",0.0666666666666667,1,2.5,1
"239","{Product C,Product J} => {Product F}",0.0666666666666667,1,2.14285714285714,1
"240","{Product C,Product F} => {Product J}",0.0666666666666667,1,2.5,1
"241","{Product C,Product J} => {Product I}",0.0666666666666667,1,1.36363636363636,1
"242","{Product C,Product H} => {Product F}",0.0666666666666667,1,2.14285714285714,1
"243","{Product C,Product F} => {Product H}",0.0666666666666667,1,2.14285714285714,1
"244","{Product C,Product H} => {Product I}",0.0666666666666667,1,1.36363636363636,1
"245","{Product C,Product F} => {Product I}",0.0666666666666667,1,1.36363636363636,1
"246","{Product E,Product J} => {Product H}",0.2,1,2.14285714285714,3
"247","{Product E,Product J} => {Product F}",0.2,1,2.14285714285714,3
"248","{Product E,Product J} => {Product I}",0.2,1,1.36363636363636,3
"249","{Product E,Product I} => {Product J}",0.2,1,2.5,3
"250","{Product E,Product H} => {Product F}",0.333333333333333,0.833333333333333,1.78571428571429,5
"251","{Product E,Product F} => {Product H}",0.333333333333333,1,2.14285714285714,5
"252","{Product F,Product H} => {Product E}",0.333333333333333,0.833333333333333,2.08333333333333,5
"253","{Product E,Product I} => {Product H}",0.2,1,2.14285714285714,3
"254","{Product E,Product I} => {Product F}",0.2,1,2.14285714285714,3
"255","{Product H,Product J} => {Product F}",0.266666666666667,1,2.14285714285714,4
"256","{Product F,Product J} => {Product H}",0.266666666666667,0.8,1.71428571428571,4
"257","{Product H,Product J} => {Product I}",0.266666666666667,1,1.36363636363636,4
"258","{Product H,Product I} => {Product J}",0.266666666666667,1,2.5,4
"259","{Product F,Product J} => {Product I}",0.333333333333333,1,1.36363636363636,5
"260","{Product I,Product J} => {Product F}",0.333333333333333,0.833333333333333,1.78571428571429,5
"261","{Product F,Product I} => {Product J}",0.333333333333333,1,2.5,5
"262","{Product H,Product I} => {Product F}",0.266666666666667,1,2.14285714285714,4
"263","{Product F,Product I} => {Product H}",0.266666666666667,0.8,1.71428571428571,4
"264","{Product D,Product G,Product N} => {Product E}",0.0666666666666667,1,2.5,1
"265","{Product D,Product E,Product N} => {Product G}",0.0666666666666667,1,3,1
"266","{Product E,Product G,Product N} => {Product D}",0.0666666666666667,1,5,1
"267","{Product D,Product G,Product N} => {Product H}",0.0666666666666667,1,2.14285714285714,1
"268","{Product D,Product H,Product N} => {Product G}",0.0666666666666667,1,3,1
"269","{Product G,Product H,Product N} => {Product D}",0.0666666666666667,1,5,1
"270","{Product D,Product G,Product N} => {Product F}",0.0666666666666667,1,2.14285714285714,1
"271","{Product D,Product F,Product N} => {Product G}",0.0666666666666667,1,3,1
"272","{Product F,Product G,Product N} => {Product D}",0.0666666666666667,1,5,1
"273","{Product D,Product E,Product N} => {Product H}",0.0666666666666667,1,2.14285714285714,1
"274","{Product D,Product H,Product N} => {Product E}",0.0666666666666667,1,2.5,1
"275","{Product E,Product H,Product N} => {Product D}",0.0666666666666667,1,5,1
"276","{Product D,Product E,Product N} => {Product F}",0.0666666666666667,1,2.14285714285714,1
"277","{Product D,Product F,Product N} => {Product E}",0.0666666666666667,1,2.5,1
"278","{Product E,Product F,Product N} => {Product D}",0.0666666666666667,1,5,1
"279","{Product D,Product H,Product N} => {Product F}",0.0666666666666667,1,2.14285714285714,1
"280","{Product D,Product F,Product N} => {Product H}",0.0666666666666667,1,2.14285714285714,1
"281","{Product F,Product H,Product N} => {Product D}",0.0666666666666667,1,5,1
"282","{Product E,Product G,Product N} => {Product H}",0.0666666666666667,1,2.14285714285714,1
"283","{Product G,Product H,Product N} => {Product E}",0.0666666666666667,1,2.5,1
"284","{Product E,Product H,Product N} => {Product G}",0.0666666666666667,1,3,1
"285","{Product E,Product G,Product N} => {Product F}",0.0666666666666667,1,2.14285714285714,1
"286","{Product F,Product G,Product N} => {Product E}",0.0666666666666667,1,2.5,1
"287","{Product E,Product F,Product N} => {Product G}",0.0666666666666667,1,3,1
"288","{Product G,Product H,Product N} => {Product F}",0.0666666666666667,1,2.14285714285714,1
"289","{Product F,Product G,Product N} => {Product H}",0.0666666666666667,1,2.14285714285714,1
"290","{Product F,Product H,Product N} => {Product G}",0.0666666666666667,1,3,1
"291","{Product E,Product H,Product N} => {Product F}",0.0666666666666667,1,2.14285714285714,1
"292","{Product E,Product F,Product N} => {Product H}",0.0666666666666667,1,2.14285714285714,1
"293","{Product F,Product H,Product N} => {Product E}",0.0666666666666667,1,2.5,1
"294","{Product D,Product K,Product O} => {Product G}",0.0666666666666667,1,3,1
"295","{Product D,Product G,Product K} => {Product O}",0.0666666666666667,1,3.75,1
"296","{Product D,Product G,Product O} => {Product K}",0.0666666666666667,1,5,1
"297","{Product G,Product K,Product O} => {Product D}",0.0666666666666667,1,5,1
