Member_number,Date,itemDescription
1619052826499,10/22/2012,citrus fruit
1679031673299,10/03/2010,tropical fruit
1634042851699,07/07/2011,whole milk
1656022021999,03/13/2010,pip fruit
1612011328599,09/07/2013,other vegetables
1660042076699,06/06/2010,whole milk
1634062916299,02/15/2014,abrasive cleaner
1616070832799,12/30/2012,rolls/buns
1655052493299,10/24/2011,other vegetables
1615111911399,12/15/2011,liquor (appetizer)
1651110523499,11/15/2013,pot plants
1659030116999,12/17/2012,whole milk
1606041259699,08/19/2010,tropical fruit
1626091280899,07/20/2010,chocolate
1689081758199,04/10/2013,citrus fruit
1640041714599,03/05/2014,curd
1630051469899,10/22/2012,dishes
1681021693299,05/31/2013,beef
1627050218699,08/16/2014,frankfurter
1647060986799,06/19/2013,chicken
1612011328599,09/07/2013,butter
1611032908799,12/03/2012,fruit/vegetable juice
1657011295699,10/09/2013,packaged fruit/vegetables
1640041714599,03/05/2014,chocolate
1616070832799,12/30/2012,specialty bar
1616070832799,12/30/2012,other vegetables
1627050218699,08/16/2014,butter milk
1626042228999,01/17/2010,whole milk
1651110523499,11/15/2013,tropical fruit
1647060986799,06/19/2013,newspapers
1630051469899,10/22/2012,tropical fruit
1681021693299,05/31/2013,rolls/buns
1685101155599,08/04/2010,waffles
1630051469899,10/22/2012,bottled water
1656012667099,03/11/2010,yogurt
1651110523499,11/15/2013,sausage
1688081821499,10/20/2010,other vegetables
1617081511799,11/23/2014,brown bread
1692012598499,01/30/2011,newspapers
1655052493299,10/24/2011,yogurt
1670051155999,10/25/2012,hamburger meat
1677121935999,10/28/2010,bottled water
1668070593399,02/05/2013,root vegetables
1604042540799,08/09/2012,sugar
1624090693999,02/07/2014,pork
1640092051699,01/28/2011,whipped/sour cream
1615041962899,08/01/2011,beef
1609040411099,08/01/2014,pastry
1604032908399,10/12/2013,fruit/vegetable juice
1655052493299,10/24/2011,canned beer
1618072441999,05/29/2012,root vegetables
1681031185999,03/25/2013,citrus fruit
1649121242599,07/16/2010,sausage
1612022797599,06/03/2011,specialty bar
1689081758199,04/10/2013,tropical fruit
1603030743699,05/23/2014,domestic eggs
1657062009099,01/09/2012,cereals
1616070832799,12/30/2012,candy
1634031902399,05/26/2013,berries
1636082045699,11/30/2010,canned beer
1606071956499,11/11/2013,butter milk
1614020538699,12/02/2014,rolls/buns
1679041239599,05/23/2013,coffee
1675062410699,05/13/2010,pastry
1610032098599,10/13/2014,rolls/buns
1651110523499,11/15/2013,misc. beverages
1647072709099,05/12/2014,root vegetables
1696092655099,11/23/2013,whipped/sour cream
1630051469899,10/22/2012,bottled water
1657012141499,01/13/2012,sausage
1625061748499,01/03/2010,canned beer
1659101610099,05/12/2014,ham
1673111774199,03/17/2012,turkey
1612011328599,09/07/2013,domestic eggs
1697062110699,06/30/2014,baking powder
1693061749899,01/18/2013,whole milk
1676082629299,01/22/2012,soda
1651071607299,09/17/2010,whole milk
1635071847999,01/23/2012,packaged fruit/vegetables
1657011295699,10/09/2013,rolls/buns
1626042228999,01/17/2010,chocolate marshmallow
1655052493299,10/24/2011,ham
1672031502199,02/27/2012,rolls/buns
1630022141399,03/15/2013,rolls/buns
1686030782099,10/17/2010,other vegetables
1643113036899,12/02/2013,salty snack
1619071419299,06/02/2012,sausage
1635012886799,04/05/2013,sausage
1621112470199,11/24/2013,frankfurter
1685101155599,08/04/2010,sugar
1615041357399,03/17/2013,rolls/buns
1616070832799,12/30/2012,whole milk
1608031308299,06/06/2014,curd cheese
1674090103699,04/06/2013,red/blush wine
1639103003199,02/13/2013,sausage
1684072212999,11/02/2011,tropical fruit
1652021926899,04/02/2014,frozen potato products
1633092737799,09/08/2011,red/blush wine
1697072644899,07/14/2010,whole milk
1638100320499,02/17/2011,specialty chocolate
1698011240799,07/30/2011,frankfurter
1662120555499,11/14/2011,oil
1628051391899,12/16/2012,whole milk
1615111911399,12/15/2011,frozen potato products
1617081511799,11/23/2014,other vegetables
1632021738199,10/29/2013,citrus fruit
1609110573499,05/03/2011,pastry
1656012667099,03/11/2010,flour
1603111913899,01/05/2011,bottled beer
1691112207099,11/24/2010,sugar
1617081511799,11/23/2014,frozen meals
1640042088699,03/27/2010,chocolate
1669020569799,07/14/2014,root vegetables
1685101155599,08/04/2010,rolls/buns
1685010966299,08/23/2014,fruit/vegetable juice
1603020181799,03/21/2010,root vegetables
1680012240599,08/11/2013,herbs
1617081511799,11/23/2014,oil
1622120102299,07/20/2011,bottled water
1638121380799,04/07/2010,sausage
1678121622799,10/02/2013,rolls/buns
1688081821499,10/20/2010,coffee
1646033035599,06/30/2013,pork
1626042228999,01/17/2010,berries
1657011295699,10/09/2013,soda
1656012667099,03/11/2010,berries
1647032338699,09/24/2013,fruit/vegetable juice
1691032930299,12/19/2012,citrus fruit
1616070832799,12/30/2012,pork
1635040781499,09/10/2012,onions
1626042228999,01/17/2010,chocolate
1656012667099,03/11/2010,detergent
1648092897099,12/08/2012,grapes
1657020790999,01/11/2014,sausage
1642031742199,02/05/2013,fruit/vegetable juice
1659030116999,12/17/2012,shopping bags
1631011198999,03/29/2014,chicken
1637073003299,12/26/2014,root vegetables
1688122020199,12/20/2014,oil
1618090368299,10/05/2011,whole milk
1654040436999,03/29/2011,citrus fruit
1692012598499,01/30/2011,soda
1606041259699,08/19/2010,sausage
1649051357599,06/06/2013,rolls/buns
1615111911399,12/15/2011,bathroom cleaner
1626091280899,07/20/2010,frankfurter
1689070976399,06/22/2013,sausage
1689100179499,09/02/2010,fruit/vegetable juice
1642042014799,07/19/2013,photo/film
1625030342799,12/25/2012,soda
1670112104699,01/25/2011,rolls/buns
1689081758199,04/10/2013,beef
1616070832799,12/30/2012,brown bread
1684010946799,09/12/2014,whole milk
1604120185999,08/27/2014,waffles
1626091280899,07/20/2010,processed cheese
1628062981599,12/13/2013,tropical fruit
1637121923199,08/14/2013,frankfurter
1646082373499,07/03/2013,rolls/buns
1601010217699,04/18/2012,chewing gum
1627111535199,07/30/2011,packaged fruit/vegetables
1657011295699,10/09/2013,whole milk
1644052897499,06/19/2014,margarine
1667090361599,07/25/2012,berries
1611032908799,12/03/2012,citrus fruit
1612110835699,09/11/2011,tropical fruit
1619051748699,08/14/2011,hamburger meat
1636040484299,07/08/2011,bottled beer
1661012141999,08/17/2013,hamburger meat
1666121511799,03/02/2010,domestic eggs
1678032566299,09/09/2014,whole milk
1660050204499,06/10/2014,fish
1605021799199,08/20/2013,coffee
1675082691099,06/08/2014,frankfurter
1692012598499,01/30/2011,packaged fruit/vegetables
1657032771499,02/13/2014,pastry
1623042907799,05/15/2012,other vegetables
1629112281999,02/14/2014,misc. beverages
1629021743899,09/27/2013,frankfurter
1690061790499,11/06/2010,pip fruit
1643050224899,12/31/2010,domestic eggs
1668120396199,11/19/2013,misc. beverages
1684110151699,05/18/2010,sparkling wine
1699101035699,04/25/2010,specialty bar
1628030667299,10/17/2012,sausage
1692012598499,08/10/2014,curd cheese
1653060542899,09/13/2013,frankfurter
1644121952499,10/14/2011,whole milk
1649071517699,10/30/2011,shopping bags
1600031112799,07/11/2014,newspapers
1629010370399,11/04/2011,berries
1672101916699,05/30/2011,curd
1609073068699,10/23/2014,tropical fruit
1650110184599,09/10/2012,soda
1608080348699,08/09/2012,rolls/buns
1692020352899,11/15/2013,canned beer
1647050971999,04/20/2011,canned beer
1611032908799,12/03/2012,frankfurter
1672041451999,06/27/2012,margarine
1681061642999,10/26/2014,other vegetables
1685121394299,03/23/2010,whole milk
1692012598499,01/30/2011,whole milk
1644051001699,11/25/2012,citrus fruit
1665100527199,02/26/2012,oil
1658112034599,08/25/2012,frankfurter
1648010474199,08/25/2013,frankfurter
1636122888399,09/07/2011,whole milk
1602022916699,05/31/2014,sugar
1679071382799,11/06/2012,butter milk
1616051009999,12/01/2010,detergent
1668061609899,07/06/2010,hamburger meat
1606070299899,05/26/2011,bottled water
1665042331699,04/12/2011,pasta
1684011205699,05/12/2014,other vegetables
1659050492399,09/30/2012,chocolate
1655092724399,03/16/2013,sausage
1677051910899,05/28/2013,white bread
1664072426099,11/13/2014,rolls/buns
1682120680799,11/21/2011,grapes
1612011328599,09/07/2013,yogurt
1646061004499,11/25/2011,root vegetables
1625101150599,10/06/2011,beverages
1601120712199,07/21/2014,bottled beer
1680022071699,01/22/2010,coffee
1636020704499,02/21/2010,popcorn
1682082901099,02/07/2011,whole milk
1627050218699,08/16/2014,soda
1626091280899,07/20/2010,tropical fruit
1626091280899,02/12/2014,snack products
1661050632799,06/10/2013,beef
1684082440799,12/26/2014,flower soil/fertilizer
1692012598499,01/30/2011,whole milk
1610112630299,11/28/2010,frankfurter
1683082574099,10/12/2014,tropical fruit
1612011328599,09/07/2013,canned beer
1613112717499,08/11/2014,finished products
1643030485499,11/19/2011,beverages
1669012238999,09/18/2011,hamburger meat
1607030587099,04/01/2011,whole milk
1649061207499,07/13/2013,finished products
1611032908799,12/03/2012,other vegetables
1612100987299,12/14/2010,ham
1608102521399,02/15/2011,white bread
1645111803599,10/18/2013,other vegetables
1674021053099,04/12/2010,curd
1606041259699,08/19/2010,popcorn
1692012598499,07/26/2011,bottled beer
1612011328599,09/07/2013,curd
1689081758199,04/10/2013,waffles
1692012598499,01/30/2011,whole milk
1648051560299,04/14/2010,whole milk
1612012216399,01/19/2011,dessert
1679091789699,02/19/2013,sausage
1681021693299,05/31/2013,other vegetables
1600122428599,08/26/2012,shopping bags
1606041259699,08/19/2010,ham
1612020387199,02/11/2014,other vegetables
1648092066299,04/06/2012,other vegetables
1684032180399,02/13/2013,soda
1647080809499,11/11/2010,herbs
